primitive_id,vocab_index,canonical_primitive_id,derived_family_index,derived_family,frequency,frequency_fraction,eval_accuracy,weighted_f1,note_hit_rate,miss_rate,extra_press_rate,library_mean_duration_steps,library_mean_motion_energy,library_mean_chord_size,mean_duration_bucket_train,mean_dynamics_bucket_train,keep/remap/drop decision,replacement_primitive_id,replacement_vocab_index,remap_reason,remap_confidence
primitive_000,0,0,2,chordal,27118.0,0.05531350711867172,,,,,,6.819966483121858,12.696790744991773,4.533995690687096,5.259458662143226,1.8684268751382844,strong_keep,,,passes_quality_and_frequency,1.0
primitive_001,1,1,2,chordal,10277.0,0.020962346510015092,,,,,,7.846370513439562,13.489049697831769,4.4973442781265085,6.7222924978106455,2.4393305439330546,strong_keep,,,passes_quality_and_frequency,1.0
primitive_002,2,2,2,chordal,18265.0,0.0372557418512626,,,,,,7.8680610304688585,12.98025300972361,4.558363864026341,6.775198467013413,2.0044894607172186,strong_keep,,,passes_quality_and_frequency,1.0
primitive_003,3,3,2,chordal,1660.0,0.0033859584710153796,,,,,,5.014123006833713,24.430793884729198,4.790888382687927,2.6626506024096384,4.981927710843373,strong_keep,,,passes_quality_and_frequency,1.0
primitive_004,4,4,1,stacked_onset,90085.0,0.18374943907314487,,,,,,6.227408303103587,13.782814136106898,2.0,4.552555919409446,2.5046789143586614,strong_keep,,,passes_quality_and_frequency,1.0
primitive_005,5,5,1,stacked_onset,10376.0,0.021164280177864807,,,,,,7.401362725450902,14.114467133615682,2.0,6.037779491133385,2.8593870470316114,strong_keep,,,passes_quality_and_frequency,1.0
primitive_006,6,6,1,stacked_onset,9377.0,0.019126585893199526,,,,,,5.690048344431268,14.921769481934868,2.0,3.699050869147915,3.3455262877252854,strong_keep,,,passes_quality_and_frequency,1.0
primitive_007,7,7,1,stacked_onset,8358.0,0.017048096928160568,,,,,,7.253165819124539,14.715172198325357,2.0,5.742402488633644,3.24300071787509,strong_keep,,,passes_quality_and_frequency,1.0
primitive_008,8,8,1,stacked_onset,15284.0,0.0311752947415657,,,,,,4.726791293756289,16.808703275326103,2.0,1.8957079298612929,3.9681366134519758,strong_keep,,,passes_quality_and_frequency,1.0
primitive_009,9,9,3,transition,2093.0,0.004269163301105536,,,,,,5.12204555221315,23.05628345040328,1.0,2.789297658862876,4.8996655518394645,strong_keep,,,passes_quality_and_frequency,1.0
primitive_010,10,10,0,single_note,68907.0,0.14055195202545587,,,,,,6.4382837810374305,11.747879996969719,1.0,4.720289665781416,1.3876238988781981,strong_keep,,,passes_quality_and_frequency,1.0
primitive_011,11,11,0,single_note,138143.0,0.2817749765430588,,,,,,5.652925236810447,14.146698200422943,1.0,3.429344954141723,2.8041739357043065,strong_keep,,,passes_quality_and_frequency,1.0
primitive_012,12,12,0,single_note,34437.0,0.07024232040141966,,,,,,5.522214058290473,14.080153942201584,1.0,3.517176292940732,2.788134854952522,strong_keep,,,passes_quality_and_frequency,1.0
primitive_013,13,13,2,chordal,55080.0,0.11234854974911272,,,,,,6.735936054359861,13.637379353867761,3.0,5.000726216412491,2.49440813362382,strong_keep,,,passes_quality_and_frequency,1.0
primitive_014,14,14,2,chordal,800.0,0.001631787214947171,,,,,,5.008611410118407,24.246109451236457,3.0,2.625,4.935,strong_keep,,,passes_quality_and_frequency,1.0
