old_primitive_id,new_primitive_id,old_vocab_index,new_vocab_index,old_family,new_family,decision,reason,confidence,old_frequency,new_frequency,old_accuracy,new_accuracy
primitive_000,primitive_000,0,0,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,27118.0,27118.0,,
primitive_001,primitive_001,1,1,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,10277.0,10277.0,,
primitive_002,primitive_002,2,2,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,18265.0,18265.0,,
primitive_003,primitive_003,3,3,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,1660.0,1660.0,,
primitive_004,primitive_004,4,4,stacked_onset,stacked_onset,strong_keep,passes_quality_and_frequency,1.0,90085.0,90085.0,,
primitive_005,primitive_005,5,5,stacked_onset,stacked_onset,strong_keep,passes_quality_and_frequency,1.0,10376.0,10376.0,,
primitive_006,primitive_006,6,6,stacked_onset,stacked_onset,strong_keep,passes_quality_and_frequency,1.0,9377.0,9377.0,,
primitive_007,primitive_007,7,7,stacked_onset,stacked_onset,strong_keep,passes_quality_and_frequency,1.0,8358.0,8358.0,,
primitive_008,primitive_008,8,8,stacked_onset,stacked_onset,strong_keep,passes_quality_and_frequency,1.0,15284.0,15284.0,,
primitive_009,primitive_009,9,9,transition,transition,strong_keep,passes_quality_and_frequency,1.0,2093.0,2093.0,,
primitive_010,primitive_010,10,10,single_note,single_note,strong_keep,passes_quality_and_frequency,1.0,68907.0,68907.0,,
primitive_011,primitive_011,11,11,single_note,single_note,strong_keep,passes_quality_and_frequency,1.0,138143.0,138143.0,,
primitive_012,primitive_012,12,12,single_note,single_note,strong_keep,passes_quality_and_frequency,1.0,34437.0,34437.0,,
primitive_013,primitive_013,13,13,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,55080.0,55080.0,,
primitive_014,primitive_014,14,14,chordal,chordal,strong_keep,passes_quality_and_frequency,1.0,800.0,800.0,,
