global_segment_id,trajectory_id,trajectory_index,local_segment_id,primitive_id,start_t,end_t,duration
0,345,0,0,21,0,4,4
1,345,0,1,18,4,25,21
2,345,0,2,21,25,37,12
3,345,0,3,21,37,50,13
4,345,0,4,6,50,54,4
5,345,0,5,12,54,59,5
6,345,0,6,1,59,68,9
7,345,0,7,12,68,75,7
8,345,0,8,10,75,100,25
9,345,0,9,22,100,113,13
10,345,0,10,23,113,125,12
11,345,0,11,4,125,129,4
12,345,0,12,4,129,137,8
13,345,0,13,19,137,150,13
14,345,0,14,15,150,163,13
15,345,0,15,26,163,175,12
16,345,0,16,5,175,188,13
17,345,0,17,7,188,200,12
18,345,0,18,3,200,204,4
19,345,0,19,31,204,213,9
20,345,0,20,20,213,226,13
21,345,0,21,1,226,239,13
22,345,0,22,1,239,251,12
23,345,0,23,28,251,264,13
24,345,0,24,1,264,276,12
25,345,0,25,24,276,288,12
26,345,0,26,24,288,301,13
27,345,0,27,9,301,305,4
28,345,0,28,14,305,309,4
29,345,0,29,14,309,326,17
30,345,0,30,14,326,339,13
31,345,0,31,25,339,351,12
32,345,0,32,0,351,355,4
33,345,0,33,29,355,360,5
34,345,0,34,25,360,369,9
35,345,0,35,13,369,376,7
36,345,0,36,11,376,389,13
37,345,0,37,30,389,401,12
38,345,0,38,2,401,405,4
39,345,0,39,8,405,426,21
40,345,0,40,10,426,438,12
41,345,0,41,27,438,444,6
42,345,0,42,4,444,451,7
43,345,0,43,20,451,476,25
44,345,0,44,16,476,489,13
45,345,0,45,1,489,495,6
46,345,0,46,4,495,501,6
47,345,0,47,27,501,519,18
48,345,0,48,8,519,526,7
49,345,0,49,17,526,530,4
50,345,0,50,8,530,534,4
51,345,0,51,20,534,550,16
52,289,1,0,21,0,4,4
53,289,1,1,18,4,25,21
54,289,1,2,21,25,37,12
55,289,1,3,21,37,50,13
56,289,1,4,6,50,54,4
57,289,1,5,12,54,59,5
58,289,1,6,1,59,68,9
59,289,1,7,12,68,75,7
60,289,1,8,10,75,100,25
61,289,1,9,22,100,113,13
62,289,1,10,23,113,125,12
63,289,1,11,4,125,129,4
64,289,1,12,4,129,137,8
65,289,1,13,19,137,150,13
66,289,1,14,15,150,163,13
67,289,1,15,26,163,175,12
68,289,1,16,5,175,188,13
69,289,1,17,7,188,200,12
70,289,1,18,3,200,204,4
71,289,1,19,31,204,213,9
72,289,1,20,20,213,226,13
73,289,1,21,1,226,239,13
74,289,1,22,1,239,251,12
75,289,1,23,28,251,264,13
76,289,1,24,1,264,276,12
77,289,1,25,24,276,288,12
78,289,1,26,24,288,301,13
79,289,1,27,9,301,305,4
80,289,1,28,14,305,309,4
81,289,1,29,14,309,326,17
82,289,1,30,14,326,339,13
83,289,1,31,25,339,351,12
84,289,1,32,0,351,355,4
85,289,1,33,29,355,360,5
86,289,1,34,25,360,369,9
87,289,1,35,13,369,376,7
88,289,1,36,11,376,389,13
89,289,1,37,30,389,401,12
90,289,1,38,2,401,405,4
91,289,1,39,8,405,426,21
92,289,1,40,10,426,438,12
93,289,1,41,27,438,444,6
94,289,1,42,4,444,451,7
95,289,1,43,20,451,476,25
96,289,1,44,16,476,489,13
97,289,1,45,1,489,495,6
98,289,1,46,4,495,501,6
99,289,1,47,27,501,519,18
100,289,1,48,8,519,526,7
101,289,1,49,17,526,530,4
102,289,1,50,8,530,534,4
103,289,1,51,20,534,550,16
104,142,2,0,21,0,4,4
105,142,2,1,18,4,25,21
106,142,2,2,21,25,37,12
107,142,2,3,21,37,50,13
108,142,2,4,6,50,54,4
109,142,2,5,12,54,59,5
110,142,2,6,1,59,68,9
111,142,2,7,12,68,75,7
112,142,2,8,10,75,100,25
113,142,2,9,22,100,113,13
114,142,2,10,23,113,125,12
115,142,2,11,4,125,129,4
116,142,2,12,4,129,137,8
117,142,2,13,19,137,150,13
118,142,2,14,15,150,163,13
119,142,2,15,26,163,175,12
120,142,2,16,5,175,188,13
121,142,2,17,7,188,200,12
122,142,2,18,3,200,204,4
123,142,2,19,31,204,213,9
124,142,2,20,20,213,226,13
125,142,2,21,1,226,239,13
126,142,2,22,1,239,251,12
127,142,2,23,28,251,264,13
128,142,2,24,1,264,276,12
129,142,2,25,24,276,288,12
130,142,2,26,24,288,301,13
131,142,2,27,9,301,305,4
132,142,2,28,14,305,309,4
133,142,2,29,14,309,326,17
134,142,2,30,14,326,339,13
135,142,2,31,25,339,351,12
136,142,2,32,0,351,355,4
137,142,2,33,29,355,360,5
138,142,2,34,25,360,369,9
139,142,2,35,13,369,376,7
140,142,2,36,11,376,389,13
141,142,2,37,30,389,401,12
142,142,2,38,2,401,405,4
143,142,2,39,8,405,426,21
144,142,2,40,10,426,438,12
145,142,2,41,27,438,444,6
146,142,2,42,4,444,451,7
147,142,2,43,20,451,476,25
148,142,2,44,16,476,489,13
149,142,2,45,1,489,495,6
150,142,2,46,4,495,501,6
151,142,2,47,27,501,519,18
152,142,2,48,8,519,526,7
153,142,2,49,17,526,530,4
154,142,2,50,8,530,534,4
155,142,2,51,20,534,550,16
156,204,3,0,21,0,4,4
157,204,3,1,18,4,25,21
158,204,3,2,21,25,37,12
159,204,3,3,21,37,50,13
160,204,3,4,6,50,54,4
161,204,3,5,12,54,59,5
162,204,3,6,1,59,68,9
163,204,3,7,12,68,75,7
164,204,3,8,10,75,100,25
165,204,3,9,22,100,113,13
166,204,3,10,23,113,125,12
167,204,3,11,4,125,129,4
168,204,3,12,4,129,137,8
169,204,3,13,19,137,150,13
170,204,3,14,15,150,163,13
171,204,3,15,26,163,175,12
172,204,3,16,5,175,188,13
173,204,3,17,7,188,200,12
174,204,3,18,3,200,204,4
175,204,3,19,31,204,213,9
176,204,3,20,20,213,226,13
177,204,3,21,1,226,239,13
178,204,3,22,1,239,251,12
179,204,3,23,28,251,264,13
180,204,3,24,1,264,276,12
181,204,3,25,24,276,288,12
182,204,3,26,24,288,301,13
183,204,3,27,9,301,305,4
184,204,3,28,14,305,309,4
185,204,3,29,14,309,326,17
186,204,3,30,14,326,339,13
187,204,3,31,25,339,351,12
188,204,3,32,0,351,355,4
189,204,3,33,29,355,360,5
190,204,3,34,25,360,369,9
191,204,3,35,13,369,376,7
192,204,3,36,11,376,389,13
193,204,3,37,30,389,401,12
194,204,3,38,2,401,405,4
195,204,3,39,8,405,426,21
196,204,3,40,10,426,438,12
197,204,3,41,27,438,444,6
198,204,3,42,4,444,451,7
199,204,3,43,20,451,476,25
200,204,3,44,16,476,489,13
201,204,3,45,1,489,495,6
202,204,3,46,4,495,501,6
203,204,3,47,27,501,519,18
204,204,3,48,8,519,526,7
205,204,3,49,17,526,530,4
206,204,3,50,8,530,534,4
207,204,3,51,20,534,550,16
208,441,4,0,21,0,4,4
209,441,4,1,18,4,25,21
210,441,4,2,21,25,37,12
211,441,4,3,21,37,50,13
212,441,4,4,6,50,54,4
213,441,4,5,12,54,59,5
214,441,4,6,1,59,68,9
215,441,4,7,12,68,75,7
216,441,4,8,10,75,100,25
217,441,4,9,22,100,113,13
218,441,4,10,23,113,125,12
219,441,4,11,4,125,129,4
220,441,4,12,4,129,137,8
221,441,4,13,19,137,150,13
222,441,4,14,15,150,163,13
223,441,4,15,26,163,175,12
224,441,4,16,5,175,188,13
225,441,4,17,7,188,200,12
226,441,4,18,3,200,204,4
227,441,4,19,31,204,213,9
228,441,4,20,20,213,226,13
229,441,4,21,1,226,239,13
230,441,4,22,1,239,251,12
231,441,4,23,28,251,264,13
232,441,4,24,1,264,276,12
233,441,4,25,24,276,288,12
234,441,4,26,24,288,301,13
235,441,4,27,9,301,305,4
236,441,4,28,14,305,309,4
237,441,4,29,14,309,326,17
238,441,4,30,14,326,339,13
239,441,4,31,25,339,351,12
240,441,4,32,0,351,355,4
241,441,4,33,29,355,360,5
242,441,4,34,25,360,369,9
243,441,4,35,13,369,376,7
244,441,4,36,11,376,389,13
245,441,4,37,30,389,401,12
246,441,4,38,2,401,405,4
247,441,4,39,8,405,426,21
248,441,4,40,10,426,438,12
249,441,4,41,27,438,444,6
250,441,4,42,4,444,451,7
251,441,4,43,20,451,476,25
252,441,4,44,16,476,489,13
253,441,4,45,1,489,495,6
254,441,4,46,4,495,501,6
255,441,4,47,27,501,519,18
256,441,4,48,8,519,526,7
257,441,4,49,17,526,530,4
258,441,4,50,8,530,534,4
259,441,4,51,20,534,550,16
260,231,5,0,21,0,4,4
261,231,5,1,18,4,25,21
262,231,5,2,21,25,37,12
263,231,5,3,21,37,50,13
264,231,5,4,6,50,54,4
265,231,5,5,12,54,59,5
266,231,5,6,1,59,68,9
267,231,5,7,12,68,75,7
268,231,5,8,10,75,100,25
269,231,5,9,22,100,113,13
270,231,5,10,23,113,125,12
271,231,5,11,4,125,129,4
272,231,5,12,4,129,137,8
273,231,5,13,19,137,150,13
274,231,5,14,15,150,163,13
275,231,5,15,26,163,175,12
276,231,5,16,5,175,188,13
277,231,5,17,7,188,200,12
278,231,5,18,3,200,204,4
279,231,5,19,31,204,213,9
280,231,5,20,20,213,226,13
281,231,5,21,1,226,239,13
282,231,5,22,1,239,251,12
283,231,5,23,28,251,264,13
284,231,5,24,1,264,276,12
285,231,5,25,24,276,288,12
286,231,5,26,24,288,301,13
287,231,5,27,9,301,305,4
288,231,5,28,14,305,309,4
289,231,5,29,14,309,326,17
290,231,5,30,14,326,339,13
291,231,5,31,25,339,351,12
292,231,5,32,0,351,355,4
293,231,5,33,29,355,360,5
294,231,5,34,25,360,369,9
295,231,5,35,13,369,376,7
296,231,5,36,11,376,389,13
297,231,5,37,30,389,401,12
298,231,5,38,2,401,405,4
299,231,5,39,8,405,426,21
300,231,5,40,10,426,438,12
301,231,5,41,27,438,444,6
302,231,5,42,4,444,451,7
303,231,5,43,20,451,476,25
304,231,5,44,16,476,489,13
305,231,5,45,1,489,495,6
306,231,5,46,4,495,501,6
307,231,5,47,27,501,519,18
308,231,5,48,8,519,526,7
309,231,5,49,17,526,530,4
310,231,5,50,8,530,534,4
311,231,5,51,20,534,550,16
312,39,6,0,21,0,4,4
313,39,6,1,18,4,25,21
314,39,6,2,21,25,37,12
315,39,6,3,21,37,50,13
316,39,6,4,6,50,54,4
317,39,6,5,12,54,59,5
318,39,6,6,1,59,68,9
319,39,6,7,12,68,75,7
320,39,6,8,10,75,100,25
321,39,6,9,22,100,113,13
322,39,6,10,23,113,125,12
323,39,6,11,4,125,129,4
324,39,6,12,4,129,137,8
325,39,6,13,19,137,150,13
326,39,6,14,15,150,163,13
327,39,6,15,26,163,175,12
328,39,6,16,5,175,188,13
329,39,6,17,7,188,200,12
330,39,6,18,3,200,204,4
331,39,6,19,31,204,213,9
332,39,6,20,20,213,226,13
333,39,6,21,1,226,239,13
334,39,6,22,1,239,251,12
335,39,6,23,28,251,264,13
336,39,6,24,1,264,276,12
337,39,6,25,24,276,288,12
338,39,6,26,24,288,301,13
339,39,6,27,9,301,305,4
340,39,6,28,14,305,309,4
341,39,6,29,14,309,326,17
342,39,6,30,14,326,339,13
343,39,6,31,25,339,351,12
344,39,6,32,0,351,355,4
345,39,6,33,29,355,360,5
346,39,6,34,25,360,369,9
347,39,6,35,13,369,376,7
348,39,6,36,11,376,389,13
349,39,6,37,30,389,401,12
350,39,6,38,2,401,405,4
351,39,6,39,8,405,426,21
352,39,6,40,10,426,438,12
353,39,6,41,27,438,444,6
354,39,6,42,4,444,451,7
355,39,6,43,20,451,476,25
356,39,6,44,16,476,489,13
357,39,6,45,1,489,495,6
358,39,6,46,4,495,501,6
359,39,6,47,27,501,519,18
360,39,6,48,8,519,526,7
361,39,6,49,17,526,530,4
362,39,6,50,8,530,534,4
363,39,6,51,20,534,550,16
364,151,7,0,21,0,4,4
365,151,7,1,18,4,25,21
