primitive_id,count,num_trajectories_used_in,trajectory_coverage_fraction,mean_duration,mean_num_goal_keys
0,64,64,1.0,4.0,3.0
1,320,64,1.0,10.4,3.006837606837607
2,64,64,1.0,4.0,3.75
3,64,64,1.0,4.0,2.75
4,256,64,1.0,6.25,3.2336309523809526
5,64,64,1.0,13.0,3.0
6,64,64,1.0,4.0,3.5
7,64,64,1.0,12.0,3.0833333333333326
8,192,64,1.0,10.666666666666666,2.880952380952381
9,64,64,1.0,4.0,2.5
10,128,64,1.0,18.5,3.0616666666666665
11,64,64,1.0,13.0,2.1538461538461537
12,128,64,1.0,6.0,3.171428571428572
13,64,64,1.0,7.0,3.142857142857143
14,192,64,1.0,11.333333333333334,2.5
15,64,64,1.0,13.0,3.1538461538461537
16,64,64,1.0,13.0,3.1538461538461537
17,64,64,1.0,4.0,2.5
18,64,64,1.0,21.0,2.0
19,64,64,1.0,13.0,3.076923076923077
20,192,64,1.0,18.0,2.3466666666666662
21,192,64,1.0,9.666666666666666,2.7756410256410255
22,64,64,1.0,13.0,3.0
23,64,64,1.0,12.0,2.916666666666667
24,128,64,1.0,12.5,2.541666666666666
25,128,64,1.0,10.5,3.0972222222222228
26,64,64,1.0,12.0,3.0
27,128,64,1.0,12.0,3.1111111111111116
28,64,64,1.0,13.0,3.076923076923077
29,64,64,1.0,5.0,3.1999999999999997
30,64,64,1.0,12.0,3.0
31,64,64,1.0,9.0,2.0
