trajectory_id,primitive_0,primitive_1,primitive_2,primitive_3,primitive_4,primitive_5,primitive_6,primitive_7,primitive_8,primitive_9,primitive_10,primitive_11,primitive_12,primitive_13,primitive_14,primitive_15,primitive_16,primitive_17,primitive_18,primitive_19,primitive_20,primitive_21,primitive_22,primitive_23,primitive_24,primitive_25,primitive_26,primitive_27,primitive_28,primitive_29,primitive_30,primitive_31
0,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
8,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
32,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
36,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
39,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
46,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
65,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
88,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
99,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
131,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
140,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
142,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
144,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
146,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
