global_segment_id,trajectory_id,trajectory_index,local_segment_id,start_t,end_t,duration,num_goal_keys
0,345,0,0,0,4,4,2.25
1,345,0,1,4,25,21,2.0
2,345,0,2,25,37,12,3.0
3,345,0,3,37,50,13,3.076923076923077
4,345,0,4,50,54,4,3.5
5,345,0,5,54,59,5,3.2
6,345,0,6,59,68,9,3.111111111111111
7,345,0,7,68,75,7,3.142857142857143
8,345,0,8,75,100,25,3.04
9,345,0,9,100,113,13,3.0
10,345,0,10,113,125,12,2.9166666666666665
11,345,0,11,125,129,4,3.5
12,345,0,12,129,137,8,3.125
13,345,0,13,137,150,13,3.076923076923077
14,345,0,14,150,163,13,3.1538461538461537
15,345,0,15,163,175,12,3.0
16,345,0,16,175,188,13,3.0
17,345,0,17,188,200,12,3.0833333333333335
18,345,0,18,200,204,4,2.75
19,345,0,19,204,213,9,2.0
20,345,0,20,213,226,13,2.0
21,345,0,21,226,239,13,2.923076923076923
22,345,0,22,239,251,12,3.0
23,345,0,23,251,264,13,3.076923076923077
24,345,0,24,264,276,12,3.0
25,345,0,25,276,288,12,2.0833333333333335
26,345,0,26,288,301,13,3.0
27,345,0,27,301,305,4,2.5
28,345,0,28,305,309,4,2.5
29,345,0,29,309,326,17,2.0
30,345,0,30,326,339,13,3.0
31,345,0,31,339,351,12,3.0833333333333335
32,345,0,32,351,355,4,3.0
33,345,0,33,355,360,5,3.2
34,345,0,34,360,369,9,3.111111111111111
35,345,0,35,369,376,7,3.142857142857143
36,345,0,36,376,389,13,2.1538461538461537
37,345,0,37,389,401,12,3.0
38,345,0,38,401,405,4,3.75
39,345,0,39,405,426,21,3.0
40,345,0,40,426,438,12,3.0833333333333335
41,345,0,41,438,444,6,3.1666666666666665
42,345,0,42,444,451,7,3.142857142857143
43,345,0,43,451,476,25,3.04
44,345,0,44,476,489,13,3.1538461538461537
45,345,0,45,489,495,6,3.0
46,345,0,46,495,501,6,3.1666666666666665
47,345,0,47,501,519,18,3.0555555555555554
48,345,0,48,519,526,7,3.142857142857143
49,345,0,49,526,530,4,2.5
50,345,0,50,530,534,4,2.5
51,345,0,51,534,550,16,2.0
52,289,1,0,0,4,4,2.25
53,289,1,1,4,25,21,2.0
54,289,1,2,25,37,12,3.0
55,289,1,3,37,50,13,3.076923076923077
56,289,1,4,50,54,4,3.5
57,289,1,5,54,59,5,3.2
58,289,1,6,59,68,9,3.111111111111111
59,289,1,7,68,75,7,3.142857142857143
60,289,1,8,75,100,25,3.04
61,289,1,9,100,113,13,3.0
62,289,1,10,113,125,12,2.9166666666666665
63,289,1,11,125,129,4,3.5
64,289,1,12,129,137,8,3.125
65,289,1,13,137,150,13,3.076923076923077
66,289,1,14,150,163,13,3.1538461538461537
67,289,1,15,163,175,12,3.0
68,289,1,16,175,188,13,3.0
69,289,1,17,188,200,12,3.0833333333333335
70,289,1,18,200,204,4,2.75
71,289,1,19,204,213,9,2.0
72,289,1,20,213,226,13,2.0
73,289,1,21,226,239,13,2.923076923076923
74,289,1,22,239,251,12,3.0
75,289,1,23,251,264,13,3.076923076923077
76,289,1,24,264,276,12,3.0
77,289,1,25,276,288,12,2.0833333333333335
78,289,1,26,288,301,13,3.0
79,289,1,27,301,305,4,2.5
80,289,1,28,305,309,4,2.5
81,289,1,29,309,326,17,2.0
82,289,1,30,326,339,13,3.0
83,289,1,31,339,351,12,3.0833333333333335
84,289,1,32,351,355,4,3.0
85,289,1,33,355,360,5,3.2
86,289,1,34,360,369,9,3.111111111111111
87,289,1,35,369,376,7,3.142857142857143
88,289,1,36,376,389,13,2.1538461538461537
89,289,1,37,389,401,12,3.0
90,289,1,38,401,405,4,3.75
91,289,1,39,405,426,21,3.0
92,289,1,40,426,438,12,3.0833333333333335
93,289,1,41,438,444,6,3.1666666666666665
94,289,1,42,444,451,7,3.142857142857143
95,289,1,43,451,476,25,3.04
96,289,1,44,476,489,13,3.1538461538461537
97,289,1,45,489,495,6,3.0
98,289,1,46,495,501,6,3.1666666666666665
99,289,1,47,501,519,18,3.0555555555555554
100,289,1,48,519,526,7,3.142857142857143
101,289,1,49,526,530,4,2.5
102,289,1,50,530,534,4,2.5
103,289,1,51,534,550,16,2.0
104,142,2,0,0,4,4,2.25
105,142,2,1,4,25,21,2.0
106,142,2,2,25,37,12,3.0
107,142,2,3,37,50,13,3.076923076923077
108,142,2,4,50,54,4,3.5
109,142,2,5,54,59,5,3.2
110,142,2,6,59,68,9,3.111111111111111
111,142,2,7,68,75,7,3.142857142857143
112,142,2,8,75,100,25,3.04
113,142,2,9,100,113,13,3.0
114,142,2,10,113,125,12,2.9166666666666665
115,142,2,11,125,129,4,3.5
116,142,2,12,129,137,8,3.125
117,142,2,13,137,150,13,3.076923076923077
118,142,2,14,150,163,13,3.1538461538461537
119,142,2,15,163,175,12,3.0
120,142,2,16,175,188,13,3.0
121,142,2,17,188,200,12,3.0833333333333335
122,142,2,18,200,204,4,2.75
123,142,2,19,204,213,9,2.0
124,142,2,20,213,226,13,2.0
125,142,2,21,226,239,13,2.923076923076923
126,142,2,22,239,251,12,3.0
127,142,2,23,251,264,13,3.076923076923077
128,142,2,24,264,276,12,3.0
