global_segment_id,trajectory_id,trajectory_index,local_segment_id,primitive_id,start_t,end_t,duration
0,367,0,0,22,0,4,4
1,367,0,1,22,4,25,21
2,367,0,2,22,25,37,12
3,367,0,3,2,37,50,13
4,367,0,4,6,50,54,4
5,367,0,5,20,54,59,5
6,367,0,6,2,59,68,9
7,367,0,7,20,68,75,7
8,367,0,8,7,75,100,25
9,367,0,9,19,100,113,13
10,367,0,10,25,113,125,12
11,367,0,11,4,125,129,4
12,367,0,12,4,129,137,8
13,367,0,13,14,137,150,13
14,367,0,14,11,150,163,13
15,367,0,15,28,163,175,12
16,367,0,16,9,175,188,13
17,367,0,17,16,188,200,12
18,367,0,18,17,200,204,4
19,367,0,19,31,204,213,9
20,367,0,20,1,213,226,13
21,367,0,21,5,226,239,13
22,367,0,22,5,239,251,12
23,367,0,23,23,251,264,13
24,367,0,24,5,264,276,12
25,367,0,25,0,276,288,12
26,367,0,26,5,288,301,13
27,367,0,27,8,301,305,4
28,367,0,28,10,305,309,4
29,367,0,29,10,309,326,17
30,367,0,30,10,326,339,13
31,367,0,31,21,339,351,12
32,367,0,32,18,351,355,4
33,367,0,33,26,355,360,5
34,367,0,34,21,360,369,9
35,367,0,35,29,369,376,7
36,367,0,36,13,376,389,13
37,367,0,37,27,389,401,12
38,367,0,38,3,401,405,4
39,367,0,39,2,405,426,21
40,367,0,40,7,426,438,12
41,367,0,41,30,438,444,6
42,367,0,42,4,444,451,7
43,367,0,43,1,451,476,25
44,367,0,44,15,476,489,13
45,367,0,45,24,489,495,6
46,367,0,46,24,495,501,6
47,367,0,47,30,501,519,18
48,367,0,48,2,519,526,7
49,367,0,49,12,526,530,4
50,367,0,50,2,530,534,4
51,367,0,51,1,534,550,16
52,345,1,0,22,0,4,4
53,345,1,1,22,4,25,21
54,345,1,2,22,25,37,12
55,345,1,3,2,37,50,13
56,345,1,4,6,50,54,4
57,345,1,5,20,54,59,5
58,345,1,6,2,59,68,9
59,345,1,7,20,68,75,7
60,345,1,8,7,75,100,25
61,345,1,9,19,100,113,13
62,345,1,10,25,113,125,12
63,345,1,11,4,125,129,4
64,345,1,12,4,129,137,8
65,345,1,13,14,137,150,13
66,345,1,14,11,150,163,13
67,345,1,15,28,163,175,12
68,345,1,16,9,175,188,13
69,345,1,17,16,188,200,12
70,345,1,18,17,200,204,4
71,345,1,19,31,204,213,9
72,345,1,20,1,213,226,13
73,345,1,21,5,226,239,13
74,345,1,22,5,239,251,12
75,345,1,23,23,251,264,13
76,345,1,24,5,264,276,12
77,345,1,25,0,276,288,12
78,345,1,26,5,288,301,13
79,345,1,27,8,301,305,4
80,345,1,28,10,305,309,4
81,345,1,29,10,309,326,17
82,345,1,30,10,326,339,13
83,345,1,31,21,339,351,12
84,345,1,32,18,351,355,4
85,345,1,33,26,355,360,5
86,345,1,34,21,360,369,9
87,345,1,35,29,369,376,7
88,345,1,36,13,376,389,13
89,345,1,37,27,389,401,12
90,345,1,38,3,401,405,4
91,345,1,39,2,405,426,21
92,345,1,40,7,426,438,12
93,345,1,41,30,438,444,6
94,345,1,42,4,444,451,7
95,345,1,43,1,451,476,25
96,345,1,44,15,476,489,13
97,345,1,45,24,489,495,6
98,345,1,46,24,495,501,6
99,345,1,47,30,501,519,18
100,345,1,48,2,519,526,7
101,345,1,49,12,526,530,4
102,345,1,50,2,530,534,4
103,345,1,51,1,534,550,16
104,289,2,0,22,0,4,4
105,289,2,1,22,4,25,21
106,289,2,2,22,25,37,12
107,289,2,3,2,37,50,13
108,289,2,4,6,50,54,4
109,289,2,5,20,54,59,5
110,289,2,6,2,59,68,9
111,289,2,7,20,68,75,7
112,289,2,8,7,75,100,25
113,289,2,9,19,100,113,13
114,289,2,10,25,113,125,12
115,289,2,11,4,125,129,4
116,289,2,12,4,129,137,8
117,289,2,13,14,137,150,13
118,289,2,14,11,150,163,13
119,289,2,15,28,163,175,12
120,289,2,16,9,175,188,13
121,289,2,17,16,188,200,12
122,289,2,18,17,200,204,4
123,289,2,19,31,204,213,9
124,289,2,20,1,213,226,13
125,289,2,21,5,226,239,13
126,289,2,22,5,239,251,12
127,289,2,23,23,251,264,13
128,289,2,24,5,264,276,12
129,289,2,25,0,276,288,12
130,289,2,26,5,288,301,13
131,289,2,27,8,301,305,4
132,289,2,28,10,305,309,4
133,289,2,29,10,309,326,17
134,289,2,30,10,326,339,13
135,289,2,31,21,339,351,12
136,289,2,32,18,351,355,4
137,289,2,33,26,355,360,5
138,289,2,34,21,360,369,9
139,289,2,35,29,369,376,7
140,289,2,36,13,376,389,13
141,289,2,37,27,389,401,12
142,289,2,38,3,401,405,4
143,289,2,39,2,405,426,21
144,289,2,40,7,426,438,12
145,289,2,41,30,438,444,6
146,289,2,42,4,444,451,7
147,289,2,43,1,451,476,25
148,289,2,44,15,476,489,13
149,289,2,45,24,489,495,6
150,289,2,46,24,495,501,6
151,289,2,47,30,501,519,18
152,289,2,48,2,519,526,7
153,289,2,49,12,526,530,4
154,289,2,50,2,530,534,4
155,289,2,51,1,534,550,16
156,142,3,0,22,0,4,4
157,142,3,1,22,4,25,21
158,142,3,2,22,25,37,12
159,142,3,3,2,37,50,13
160,142,3,4,6,50,54,4
161,142,3,5,20,54,59,5
162,142,3,6,2,59,68,9
163,142,3,7,20,68,75,7
164,142,3,8,7,75,100,25
165,142,3,9,19,100,113,13
166,142,3,10,25,113,125,12
167,142,3,11,4,125,129,4
168,142,3,12,4,129,137,8
169,142,3,13,14,137,150,13
170,142,3,14,11,150,163,13
171,142,3,15,28,163,175,12
172,142,3,16,9,175,188,13
173,142,3,17,16,188,200,12
174,142,3,18,17,200,204,4
175,142,3,19,31,204,213,9
176,142,3,20,1,213,226,13
177,142,3,21,5,226,239,13
178,142,3,22,5,239,251,12
179,142,3,23,23,251,264,13
180,142,3,24,5,264,276,12
181,142,3,25,0,276,288,12
182,142,3,26,5,288,301,13
183,142,3,27,8,301,305,4
184,142,3,28,10,305,309,4
185,142,3,29,10,309,326,17
186,142,3,30,10,326,339,13
187,142,3,31,21,339,351,12
188,142,3,32,18,351,355,4
189,142,3,33,26,355,360,5
190,142,3,34,21,360,369,9
191,142,3,35,29,369,376,7
192,142,3,36,13,376,389,13
193,142,3,37,27,389,401,12
194,142,3,38,3,401,405,4
195,142,3,39,2,405,426,21
196,142,3,40,7,426,438,12
197,142,3,41,30,438,444,6
198,142,3,42,4,444,451,7
199,142,3,43,1,451,476,25
200,142,3,44,15,476,489,13
201,142,3,45,24,489,495,6
202,142,3,46,24,495,501,6
203,142,3,47,30,501,519,18
204,142,3,48,2,519,526,7
205,142,3,49,12,526,530,4
206,142,3,50,2,530,534,4
207,142,3,51,1,534,550,16
208,204,4,0,22,0,4,4
209,204,4,1,22,4,25,21
210,204,4,2,22,25,37,12
211,204,4,3,2,37,50,13
212,204,4,4,6,50,54,4
213,204,4,5,20,54,59,5
214,204,4,6,2,59,68,9
215,204,4,7,20,68,75,7
216,204,4,8,7,75,100,25
217,204,4,9,19,100,113,13
218,204,4,10,25,113,125,12
219,204,4,11,4,125,129,4
220,204,4,12,4,129,137,8
221,204,4,13,14,137,150,13
222,204,4,14,11,150,163,13
223,204,4,15,28,163,175,12
224,204,4,16,9,175,188,13
225,204,4,17,16,188,200,12
226,204,4,18,17,200,204,4
227,204,4,19,31,204,213,9
228,204,4,20,1,213,226,13
229,204,4,21,5,226,239,13
230,204,4,22,5,239,251,12
231,204,4,23,23,251,264,13
232,204,4,24,5,264,276,12
233,204,4,25,0,276,288,12
234,204,4,26,5,288,301,13
235,204,4,27,8,301,305,4
236,204,4,28,10,305,309,4
237,204,4,29,10,309,326,17
238,204,4,30,10,326,339,13
239,204,4,31,21,339,351,12
240,204,4,32,18,351,355,4
241,204,4,33,26,355,360,5
242,204,4,34,21,360,369,9
243,204,4,35,29,369,376,7
244,204,4,36,13,376,389,13
245,204,4,37,27,389,401,12
246,204,4,38,3,401,405,4
247,204,4,39,2,405,426,21
248,204,4,40,7,426,438,12
249,204,4,41,30,438,444,6
250,204,4,42,4,444,451,7
251,204,4,43,1,451,476,25
252,204,4,44,15,476,489,13
253,204,4,45,24,489,495,6
254,204,4,46,24,495,501,6
255,204,4,47,30,501,519,18
256,204,4,48,2,519,526,7
257,204,4,49,12,526,530,4
258,204,4,50,2,530,534,4
259,204,4,51,1,534,550,16
260,441,5,0,22,0,4,4
261,441,5,1,22,4,25,21
262,441,5,2,22,25,37,12
263,441,5,3,2,37,50,13
264,441,5,4,6,50,54,4
265,441,5,5,20,54,59,5
266,441,5,6,2,59,68,9
267,441,5,7,20,68,75,7
268,441,5,8,7,75,100,25
269,441,5,9,19,100,113,13
270,441,5,10,25,113,125,12
271,441,5,11,4,125,129,4
272,441,5,12,4,129,137,8
273,441,5,13,14,137,150,13
274,441,5,14,11,150,163,13
275,441,5,15,28,163,175,12
276,441,5,16,9,175,188,13
277,441,5,17,16,188,200,12
278,441,5,18,17,200,204,4
279,441,5,19,31,204,213,9
280,441,5,20,1,213,226,13
281,441,5,21,5,226,239,13
282,441,5,22,5,239,251,12
283,441,5,23,23,251,264,13
284,441,5,24,5,264,276,12
285,441,5,25,0,276,288,12
286,441,5,26,5,288,301,13
287,441,5,27,8,301,305,4
288,441,5,28,10,305,309,4
289,441,5,29,10,309,326,17
290,441,5,30,10,326,339,13
291,441,5,31,21,339,351,12
292,441,5,32,18,351,355,4
293,441,5,33,26,355,360,5
294,441,5,34,21,360,369,9
295,441,5,35,29,369,376,7
296,441,5,36,13,376,389,13
297,441,5,37,27,389,401,12
298,441,5,38,3,401,405,4
299,441,5,39,2,405,426,21
300,441,5,40,7,426,438,12
301,441,5,41,30,438,444,6
302,441,5,42,4,444,451,7
303,441,5,43,1,451,476,25
304,441,5,44,15,476,489,13
305,441,5,45,24,489,495,6
306,441,5,46,24,495,501,6
307,441,5,47,30,501,519,18
308,441,5,48,2,519,526,7
309,441,5,49,12,526,530,4
310,441,5,50,2,530,534,4
311,441,5,51,1,534,550,16
312,231,6,0,22,0,4,4
313,231,6,1,22,4,25,21
314,231,6,2,22,25,37,12
315,231,6,3,2,37,50,13
316,231,6,4,6,50,54,4
317,231,6,5,20,54,59,5
318,231,6,6,2,59,68,9
319,231,6,7,20,68,75,7
320,231,6,8,7,75,100,25
321,231,6,9,19,100,113,13
322,231,6,10,25,113,125,12
323,231,6,11,4,125,129,4
324,231,6,12,4,129,137,8
325,231,6,13,14,137,150,13
326,231,6,14,11,150,163,13
327,231,6,15,28,163,175,12
328,231,6,16,9,175,188,13
329,231,6,17,16,188,200,12
330,231,6,18,17,200,204,4
331,231,6,19,31,204,213,9
332,231,6,20,1,213,226,13
333,231,6,21,5,226,239,13
334,231,6,22,5,239,251,12
335,231,6,23,23,251,264,13
336,231,6,24,5,264,276,12
337,231,6,25,0,276,288,12
338,231,6,26,5,288,301,13
339,231,6,27,8,301,305,4
340,231,6,28,10,305,309,4
341,231,6,29,10,309,326,17
342,231,6,30,10,326,339,13
343,231,6,31,21,339,351,12
344,231,6,32,18,351,355,4
345,231,6,33,26,355,360,5
346,231,6,34,21,360,369,9
347,231,6,35,29,369,376,7
348,231,6,36,13,376,389,13
349,231,6,37,27,389,401,12
350,231,6,38,3,401,405,4
351,231,6,39,2,405,426,21
352,231,6,40,7,426,438,12
353,231,6,41,30,438,444,6
354,231,6,42,4,444,451,7
355,231,6,43,1,451,476,25
356,231,6,44,15,476,489,13
357,231,6,45,24,489,495,6
358,231,6,46,24,495,501,6
359,231,6,47,30,501,519,18
360,231,6,48,2,519,526,7
361,231,6,49,12,526,530,4
362,231,6,50,2,530,534,4
363,231,6,51,1,534,550,16
364,39,7,0,22,0,4,4
365,39,7,1,22,4,25,21
366,39,7,2,22,25,37,12
367,39,7,3,2,37,50,13
368,39,7,4,6,50,54,4
369,39,7,5,20,54,59,5
370,39,7,6,2,59,68,9
371,39,7,7,20,68,75,7
372,39,7,8,7,75,100,25
373,39,7,9,19,100,113,13
374,39,7,10,25,113,125,12
375,39,7,11,4,125,129,4
376,39,7,12,4,129,137,8
377,39,7,13,14,137,150,13
378,39,7,14,11,150,163,13
379,39,7,15,28,163,175,12
380,39,7,16,9,175,188,13
381,39,7,17,16,188,200,12
382,39,7,18,17,200,204,4
383,39,7,19,31,204,213,9
384,39,7,20,1,213,226,13
385,39,7,21,5,226,239,13
386,39,7,22,5,239,251,12
387,39,7,23,23,251,264,13
388,39,7,24,5,264,276,12
389,39,7,25,0,276,288,12
390,39,7,26,5,288,301,13
391,39,7,27,8,301,305,4
392,39,7,28,10,305,309,4
393,39,7,29,10,309,326,17
394,39,7,30,10,326,339,13
395,39,7,31,21,339,351,12
396,39,7,32,18,351,355,4
397,39,7,33,26,355,360,5
398,39,7,34,21,360,369,9
399,39,7,35,29,369,376,7
400,39,7,36,13,376,389,13
401,39,7,37,27,389,401,12
402,39,7,38,3,401,405,4
403,39,7,39,2,405,426,21
404,39,7,40,7,426,438,12
405,39,7,41,30,438,444,6
406,39,7,42,4,444,451,7
407,39,7,43,1,451,476,25
408,39,7,44,15,476,489,13
409,39,7,45,24,489,495,6
410,39,7,46,24,495,501,6
411,39,7,47,30,501,519,18
412,39,7,48,2,519,526,7
413,39,7,49,12,526,530,4
414,39,7,50,2,530,534,4
415,39,7,51,1,534,550,16
416,151,8,0,22,0,4,4
417,151,8,1,22,4,25,21
418,151,8,2,22,25,37,12
419,151,8,3,2,37,50,13
420,151,8,4,6,50,54,4
421,151,8,5,20,54,59,5
422,151,8,6,2,59,68,9
423,151,8,7,20,68,75,7
424,151,8,8,7,75,100,25
425,151,8,9,19,100,113,13
426,151,8,10,25,113,125,12
427,151,8,11,4,125,129,4
428,151,8,12,4,129,137,8
429,151,8,13,14,137,150,13
430,151,8,14,11,150,163,13
431,151,8,15,28,163,175,12
432,151,8,16,9,175,188,13
433,151,8,17,16,188,200,12
434,151,8,18,17,200,204,4
435,151,8,19,31,204,213,9
436,151,8,20,1,213,226,13
437,151,8,21,5,226,239,13
438,151,8,22,5,239,251,12
439,151,8,23,23,251,264,13
440,151,8,24,5,264,276,12
441,151,8,25,0,276,288,12
442,151,8,26,5,288,301,13
443,151,8,27,8,301,305,4
444,151,8,28,10,305,309,4
445,151,8,29,10,309,326,17
446,151,8,30,10,326,339,13
447,151,8,31,21,339,351,12
448,151,8,32,18,351,355,4
449,151,8,33,26,355,360,5
450,151,8,34,21,360,369,9
451,151,8,35,29,369,376,7
452,151,8,36,13,376,389,13
453,151,8,37,27,389,401,12
454,151,8,38,3,401,405,4
455,151,8,39,2,405,426,21
456,151,8,40,7,426,438,12
