primitive_id,count,num_trajectories_used_in,trajectory_coverage_fraction,mean_duration,mean_num_goal_keys
0,64,64,1.0,12.0,2.0833333333333326
1,192,64,1.0,18.0,2.3466666666666662
2,320,64,1.0,10.8,2.966178266178266
3,64,64,1.0,4.0,3.75
4,192,64,1.0,6.333333333333333,3.255952380952381
5,256,64,1.0,12.5,2.9807692307692304
6,64,64,1.0,4.0,3.5
7,128,64,1.0,18.5,3.0616666666666665
8,64,64,1.0,4.0,2.5
9,64,64,1.0,13.0,3.0
10,192,64,1.0,11.333333333333334,2.5
11,64,64,1.0,13.0,3.1538461538461537
12,64,64,1.0,4.0,2.5
13,64,64,1.0,13.0,2.1538461538461537
14,64,64,1.0,13.0,3.076923076923077
15,64,64,1.0,13.0,3.1538461538461537
16,64,64,1.0,12.0,3.0833333333333326
17,64,64,1.0,4.0,2.75
18,64,64,1.0,4.0,3.0
19,64,64,1.0,13.0,3.0
20,128,64,1.0,6.0,3.171428571428572
21,128,64,1.0,10.5,3.0972222222222228
22,192,64,1.0,12.333333333333334,2.4166666666666665
23,64,64,1.0,13.0,3.076923076923077
24,128,64,1.0,6.0,3.083333333333333
25,64,64,1.0,12.0,2.916666666666667
26,64,64,1.0,5.0,3.1999999999999997
27,64,64,1.0,12.0,3.0
28,64,64,1.0,12.0,3.0
29,64,64,1.0,7.0,3.142857142857143
30,128,64,1.0,12.0,3.1111111111111116
31,64,64,1.0,9.0,2.0
