trajectory_id,primitive_0,primitive_1,primitive_2,primitive_3,primitive_4,primitive_5,primitive_6,primitive_7,primitive_8,primitive_9,primitive_10,primitive_11,primitive_12,primitive_13,primitive_14,primitive_15,primitive_16,primitive_17,primitive_18,primitive_19,primitive_20,primitive_21,primitive_22,primitive_23,primitive_24,primitive_25,primitive_26,primitive_27,primitive_28,primitive_29,primitive_30,primitive_31
0,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
8,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
32,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
36,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
39,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
46,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
65,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
88,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
99,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
131,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
140,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
142,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
144,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
146,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
151,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
158,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
165,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
172,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
178,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
183,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
185,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
189,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
193,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
194,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
204,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
208,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
209,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
231,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
259,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
268,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
271,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
286,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
287,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
289,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
291,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
293,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
323,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
324,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
325,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
345,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
