start_t,end_t,duration,primitive_id
0,4,4,21
4,25,21,18
25,37,12,21
37,50,13,21
50,54,4,6
54,59,5,12
59,68,9,1
68,75,7,12
75,100,25,10
100,113,13,22
113,125,12,23
125,129,4,4
129,137,8,4
137,150,13,19
150,163,13,15
163,175,12,26
175,188,13,5
188,200,12,7
200,204,4,3
204,213,9,31
213,226,13,20
226,239,13,1
239,251,12,1
251,264,13,28
264,276,12,1
276,288,12,24
288,301,13,24
301,305,4,9
305,309,4,14
309,326,17,14
326,339,13,14
339,351,12,25
351,355,4,0
355,360,5,29
360,369,9,25
369,376,7,13
376,389,13,11
389,401,12,30
401,405,4,2
405,426,21,8
426,438,12,10
438,444,6,27
444,451,7,4
451,476,25,20
476,489,13,16
489,495,6,1
495,501,6,4
501,519,18,27
519,526,7,8
526,530,4,17
530,534,4,8
534,550,16,20
