global_segment_id,trajectory_id,trajectory_index,local_segment_id,primitive_id,start_t,end_t,duration
0,367,0,0,21,0,4,4
1,367,0,1,18,4,25,21
2,367,0,2,21,25,37,12
3,367,0,3,21,37,50,13
4,367,0,4,6,50,54,4
5,367,0,5,12,54,59,5
6,367,0,6,1,59,68,9
7,367,0,7,12,68,75,7
8,367,0,8,10,75,100,25
9,367,0,9,22,100,113,13
10,367,0,10,23,113,125,12
11,367,0,11,4,125,129,4
12,367,0,12,4,129,137,8
13,367,0,13,19,137,150,13
14,367,0,14,15,150,163,13
15,367,0,15,26,163,175,12
16,367,0,16,5,175,188,13
17,367,0,17,7,188,200,12
18,367,0,18,3,200,204,4
19,367,0,19,31,204,213,9
20,367,0,20,20,213,226,13
21,367,0,21,1,226,239,13
22,367,0,22,1,239,251,12
23,367,0,23,28,251,264,13
24,367,0,24,1,264,276,12
25,367,0,25,24,276,288,12
26,367,0,26,24,288,301,13
27,367,0,27,9,301,305,4
28,367,0,28,14,305,309,4
29,367,0,29,14,309,326,17
30,367,0,30,14,326,339,13
31,367,0,31,25,339,351,12
32,367,0,32,0,351,355,4
33,367,0,33,29,355,360,5
34,367,0,34,25,360,369,9
35,367,0,35,13,369,376,7
36,367,0,36,11,376,389,13
37,367,0,37,30,389,401,12
38,367,0,38,2,401,405,4
39,367,0,39,8,405,426,21
40,367,0,40,10,426,438,12
41,367,0,41,27,438,444,6
42,367,0,42,4,444,451,7
43,367,0,43,20,451,476,25
44,367,0,44,16,476,489,13
45,367,0,45,1,489,495,6
46,367,0,46,4,495,501,6
47,367,0,47,27,501,519,18
48,367,0,48,8,519,526,7
49,367,0,49,17,526,530,4
50,367,0,50,8,530,534,4
51,367,0,51,20,534,550,16
