global_segment_id,trajectory_id,trajectory_index,local_segment_id,start_t,end_t,duration,num_goal_keys
0,367,0,0,0,4,4,2.25
1,367,0,1,4,25,21,2.0
2,367,0,2,25,37,12,3.0
3,367,0,3,37,50,13,3.076923076923077
4,367,0,4,50,54,4,3.5
5,367,0,5,54,59,5,3.2
6,367,0,6,59,68,9,3.111111111111111
7,367,0,7,68,75,7,3.142857142857143
8,367,0,8,75,100,25,3.04
9,367,0,9,100,113,13,3.0
10,367,0,10,113,125,12,2.9166666666666665
11,367,0,11,125,129,4,3.5
12,367,0,12,129,137,8,3.125
13,367,0,13,137,150,13,3.076923076923077
14,367,0,14,150,163,13,3.1538461538461537
15,367,0,15,163,175,12,3.0
16,367,0,16,175,188,13,3.0
17,367,0,17,188,200,12,3.0833333333333335
18,367,0,18,200,204,4,2.75
19,367,0,19,204,213,9,2.0
20,367,0,20,213,226,13,2.0
21,367,0,21,226,239,13,2.923076923076923
22,367,0,22,239,251,12,3.0
23,367,0,23,251,264,13,3.076923076923077
24,367,0,24,264,276,12,3.0
25,367,0,25,276,288,12,2.0833333333333335
26,367,0,26,288,301,13,3.0
27,367,0,27,301,305,4,2.5
28,367,0,28,305,309,4,2.5
29,367,0,29,309,326,17,2.0
30,367,0,30,326,339,13,3.0
31,367,0,31,339,351,12,3.0833333333333335
32,367,0,32,351,355,4,3.0
33,367,0,33,355,360,5,3.2
34,367,0,34,360,369,9,3.111111111111111
35,367,0,35,369,376,7,3.142857142857143
36,367,0,36,376,389,13,2.1538461538461537
37,367,0,37,389,401,12,3.0
38,367,0,38,401,405,4,3.75
39,367,0,39,405,426,21,3.0
40,367,0,40,426,438,12,3.0833333333333335
41,367,0,41,438,444,6,3.1666666666666665
42,367,0,42,444,451,7,3.142857142857143
43,367,0,43,451,476,25,3.04
44,367,0,44,476,489,13,3.1538461538461537
45,367,0,45,489,495,6,3.0
46,367,0,46,495,501,6,3.1666666666666665
47,367,0,47,501,519,18,3.0555555555555554
48,367,0,48,519,526,7,3.142857142857143
49,367,0,49,526,530,4,2.5
50,367,0,50,530,534,4,2.5
51,367,0,51,534,550,16,2.0
