start_t,end_t,duration,primitive_id
0,4,4,4
4,9,5,24
9,13,4,20
13,19,6,5
19,25,6,5
25,29,4,5
29,34,5,5
34,38,4,24
38,44,6,5
44,50,6,5
50,54,4,5
54,60,6,5
60,66,6,29
66,72,6,24
72,76,4,5
76,81,5,29
81,85,4,29
85,91,6,9
91,95,4,28
95,100,5,9
100,104,4,5
104,108,4,20
108,113,5,20
113,117,4,29
117,123,6,4
123,129,6,29
129,133,4,24
133,138,5,25
138,142,4,2
142,147,5,2
147,151,4,24
151,155,4,25
155,160,5,30
160,164,4,15
164,168,4,6
168,173,5,25
173,177,4,15
177,182,5,8
182,186,4,5
186,190,4,15
190,194,4,23
194,198,4,5
198,204,6,5
204,210,6,5
210,214,4,8
214,220,6,15
220,226,6,7
226,230,4,24
230,235,5,5
235,239,4,5
239,243,4,8
243,247,4,5
247,251,4,9
251,255,4,1
255,260,5,28
260,264,4,9
264,270,6,30
270,276,6,5
276,280,4,24
280,285,5,5
285,289,4,20
289,293,4,4
293,297,4,20
297,301,4,29
301,305,4,2
305,310,5,2
310,314,4,5
314,320,6,9
320,326,6,8
326,330,4,25
330,335,5,30
335,339,4,20
339,343,4,15
343,347,4,4
347,351,4,29
351,355,4,29
355,360,5,29
360,364,4,5
364,368,4,1
368,373,5,24
373,377,4,4
377,381,4,8
381,385,4,8
385,389,4,4
389,394,5,15
394,398,4,27
398,404,6,10
404,408,4,5
408,413,5,5
413,417,4,24
417,423,6,0
423,427,4,25
427,432,5,15
432,436,4,10
436,441,5,10
441,445,4,29
445,451,6,3
451,455,4,7
455,459,4,24
459,464,5,24
464,468,4,24
468,473,5,24
473,477,4,4
477,483,6,4
483,487,4,10
487,492,5,29
492,496,4,4
496,501,5,5
501,505,4,23
505,509,4,5
509,513,4,25
513,517,4,15
517,523,6,5
523,527,4,24
527,533,6,29
533,537,4,24
537,542,5,5
542,546,4,29
546,550,4,29
