global_segment_id,trajectory_id,trajectory_index,local_segment_id,primitive_id,start_t,end_t,duration
0,203,0,0,4,0,4,4
1,203,0,1,24,4,9,5
2,203,0,2,20,9,13,4
3,203,0,3,5,13,19,6
4,203,0,4,5,19,25,6
5,203,0,5,5,25,29,4
6,203,0,6,5,29,34,5
7,203,0,7,24,34,38,4
8,203,0,8,5,38,44,6
9,203,0,9,5,44,50,6
10,203,0,10,5,50,54,4
11,203,0,11,5,54,60,6
12,203,0,12,29,60,66,6
13,203,0,13,24,66,72,6
14,203,0,14,5,72,76,4
15,203,0,15,29,76,81,5
16,203,0,16,29,81,85,4
17,203,0,17,9,85,91,6
18,203,0,18,28,91,95,4
19,203,0,19,9,95,100,5
20,203,0,20,5,100,104,4
21,203,0,21,20,104,108,4
22,203,0,22,20,108,113,5
23,203,0,23,29,113,117,4
24,203,0,24,4,117,123,6
25,203,0,25,29,123,129,6
26,203,0,26,24,129,133,4
27,203,0,27,25,133,138,5
28,203,0,28,2,138,142,4
29,203,0,29,2,142,147,5
30,203,0,30,24,147,151,4
31,203,0,31,25,151,155,4
32,203,0,32,30,155,160,5
33,203,0,33,15,160,164,4
34,203,0,34,6,164,168,4
35,203,0,35,25,168,173,5
36,203,0,36,15,173,177,4
37,203,0,37,8,177,182,5
38,203,0,38,5,182,186,4
39,203,0,39,15,186,190,4
40,203,0,40,23,190,194,4
41,203,0,41,5,194,198,4
42,203,0,42,5,198,204,6
43,203,0,43,5,204,210,6
44,203,0,44,8,210,214,4
45,203,0,45,15,214,220,6
46,203,0,46,7,220,226,6
47,203,0,47,24,226,230,4
48,203,0,48,5,230,235,5
49,203,0,49,5,235,239,4
50,203,0,50,8,239,243,4
51,203,0,51,5,243,247,4
52,203,0,52,9,247,251,4
53,203,0,53,1,251,255,4
54,203,0,54,28,255,260,5
55,203,0,55,9,260,264,4
56,203,0,56,30,264,270,6
57,203,0,57,5,270,276,6
58,203,0,58,24,276,280,4
59,203,0,59,5,280,285,5
60,203,0,60,20,285,289,4
61,203,0,61,4,289,293,4
62,203,0,62,20,293,297,4
63,203,0,63,29,297,301,4
64,203,0,64,2,301,305,4
65,203,0,65,2,305,310,5
66,203,0,66,5,310,314,4
67,203,0,67,9,314,320,6
68,203,0,68,8,320,326,6
69,203,0,69,25,326,330,4
70,203,0,70,30,330,335,5
71,203,0,71,20,335,339,4
72,203,0,72,15,339,343,4
73,203,0,73,4,343,347,4
74,203,0,74,29,347,351,4
75,203,0,75,29,351,355,4
76,203,0,76,29,355,360,5
77,203,0,77,5,360,364,4
78,203,0,78,1,364,368,4
79,203,0,79,24,368,373,5
80,203,0,80,4,373,377,4
81,203,0,81,8,377,381,4
82,203,0,82,8,381,385,4
83,203,0,83,4,385,389,4
84,203,0,84,15,389,394,5
85,203,0,85,27,394,398,4
86,203,0,86,10,398,404,6
87,203,0,87,5,404,408,4
88,203,0,88,5,408,413,5
89,203,0,89,24,413,417,4
90,203,0,90,0,417,423,6
91,203,0,91,25,423,427,4
92,203,0,92,15,427,432,5
93,203,0,93,10,432,436,4
94,203,0,94,10,436,441,5
95,203,0,95,29,441,445,4
96,203,0,96,3,445,451,6
97,203,0,97,7,451,455,4
98,203,0,98,24,455,459,4
99,203,0,99,24,459,464,5
100,203,0,100,24,464,468,4
101,203,0,101,24,468,473,5
102,203,0,102,4,473,477,4
103,203,0,103,4,477,483,6
104,203,0,104,10,483,487,4
105,203,0,105,29,487,492,5
106,203,0,106,4,492,496,4
107,203,0,107,5,496,501,5
108,203,0,108,23,501,505,4
109,203,0,109,5,505,509,4
110,203,0,110,25,509,513,4
111,203,0,111,15,513,517,4
112,203,0,112,5,517,523,6
113,203,0,113,24,523,527,4
114,203,0,114,29,527,533,6
115,203,0,115,24,533,537,4
116,203,0,116,5,537,542,5
117,203,0,117,29,542,546,4
118,203,0,118,29,546,550,4
