global_segment_id,trajectory_id,trajectory_index,local_segment_id,start_t,end_t,duration,num_goal_keys
0,203,0,0,0,4,4,1.0
1,203,0,1,4,9,5,2.2
2,203,0,2,9,13,4,2.5
3,203,0,3,13,19,6,2.0
4,203,0,4,19,25,6,2.0
5,203,0,5,25,29,4,2.5
6,203,0,6,29,34,5,2.6
7,203,0,7,34,38,4,4.25
8,203,0,8,38,44,6,4.166666666666667
9,203,0,9,44,50,6,3.8333333333333335
10,203,0,10,50,54,4,4.75
11,203,0,11,54,60,6,4.0
12,203,0,12,60,66,6,3.0
13,203,0,13,66,72,6,2.8333333333333335
14,203,0,14,72,76,4,3.5
15,203,0,15,76,81,5,3.6
16,203,0,16,81,85,4,4.0
17,203,0,17,85,91,6,3.0
18,203,0,18,91,95,4,3.25
19,203,0,19,95,100,5,3.6
20,203,0,20,100,104,4,3.25
21,203,0,21,104,108,4,2.75
22,203,0,22,108,113,5,3.4
23,203,0,23,113,117,4,3.75
24,203,0,24,117,123,6,3.0
25,203,0,25,123,129,6,3.0
26,203,0,26,129,133,4,3.5
27,203,0,27,133,138,5,3.4
28,203,0,28,138,142,4,3.75
29,203,0,29,142,147,5,2.6
30,203,0,30,147,151,4,3.75
31,203,0,31,151,155,4,3.25
32,203,0,32,155,160,5,3.2
33,203,0,33,160,164,4,3.75
34,203,0,34,164,168,4,3.5
35,203,0,35,168,173,5,3.2
36,203,0,36,173,177,4,3.0
37,203,0,37,177,182,5,3.0
38,203,0,38,182,186,4,3.5
39,203,0,39,186,190,4,3.25
40,203,0,40,190,194,4,2.75
41,203,0,41,194,198,4,3.25
42,203,0,42,198,204,6,3.1666666666666665
43,203,0,43,204,210,6,2.5
44,203,0,44,210,214,4,3.75
45,203,0,45,214,220,6,3.5
46,203,0,46,220,226,6,3.0
47,203,0,47,226,230,4,3.25
48,203,0,48,230,235,5,2.2
49,203,0,49,235,239,4,2.5
50,203,0,50,239,243,4,2.0
51,203,0,51,243,247,4,2.0
52,203,0,52,247,251,4,2.5
53,203,0,53,251,255,4,1.75
54,203,0,54,255,260,5,2.2
55,203,0,55,260,264,4,2.75
56,203,0,56,264,270,6,2.3333333333333335
57,203,0,57,270,276,6,3.5
58,203,0,58,276,280,4,4.75
59,203,0,59,280,285,5,3.8
60,203,0,60,285,289,4,4.75
61,203,0,61,289,293,4,4.0
62,203,0,62,293,297,4,3.0
63,203,0,63,297,301,4,3.25
64,203,0,64,301,305,4,2.75
65,203,0,65,305,310,5,2.6
66,203,0,66,310,314,4,3.75
67,203,0,67,314,320,6,3.5
68,203,0,68,320,326,6,3.0
69,203,0,69,326,330,4,3.5
70,203,0,70,330,335,5,2.2
71,203,0,71,335,339,4,2.5
72,203,0,72,339,343,4,2.0
73,203,0,73,343,347,4,2.0
74,203,0,74,347,351,4,2.25
75,203,0,75,351,355,4,1.75
76,203,0,76,355,360,5,2.2
77,203,0,77,360,364,4,2.75
78,203,0,78,364,368,4,2.25
79,203,0,79,368,373,5,2.0
80,203,0,80,373,377,4,1.75
81,203,0,81,377,381,4,2.5
82,203,0,82,381,385,4,3.0
83,203,0,83,385,389,4,3.75
84,203,0,84,389,394,5,3.4
85,203,0,85,394,398,4,3.25
86,203,0,86,398,404,6,3.1666666666666665
87,203,0,87,404,408,4,2.5
88,203,0,88,408,413,5,2.2
89,203,0,89,413,417,4,2.5
90,203,0,90,417,423,6,2.0
91,203,0,91,423,427,4,1.75
92,203,0,92,427,432,5,2.0
93,203,0,93,432,436,4,2.5
94,203,0,94,436,441,5,2.4
95,203,0,95,441,445,4,2.25
96,203,0,96,445,451,6,3.0
97,203,0,97,451,455,4,4.0
98,203,0,98,455,459,4,3.25
99,203,0,99,459,464,5,3.2
100,203,0,100,464,468,4,3.75
101,203,0,101,468,473,5,3.2
102,203,0,102,473,477,4,2.75
103,203,0,103,477,483,6,2.8333333333333335
104,203,0,104,483,487,4,3.25
105,203,0,105,487,492,5,3.4
106,203,0,106,492,496,4,3.25
107,203,0,107,496,501,5,2.4
108,203,0,108,501,505,4,3.75
109,203,0,109,505,509,4,3.25
110,203,0,110,509,513,4,4.0
111,203,0,111,513,517,4,4.5
112,203,0,112,517,523,6,4.0
113,203,0,113,523,527,4,4.75
114,203,0,114,527,533,6,4.166666666666667
115,203,0,115,533,537,4,4.25
116,203,0,116,537,542,5,4.2
117,203,0,117,542,546,4,3.75
118,203,0,118,546,550,4,3.25
