step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
0,1.4200315475463867,0.0,[],[],"[22, 50]"
1,1.386823296546936,0.0,[],[],"[22, 50]"
2,1.6098331212997437,0.0,[],[],"[22, 50]"
3,1.5488561391830444,0.0,[],[],"[22, 48, 50]"
4,1.163303256034851,0.0,[],[48],"[22, 48]"
5,1.0562889575958252,0.0,[],[48],"[22, 48]"
6,0.8057393431663513,0.0,"[14, 15]","[23, 48]","[22, 48]"
7,1.3775187730789185,0.0,[],"[22, 24, 48]","[22, 50]"
8,0.7340984344482422,0.0,[],[22],"[22, 50]"
9,0.833320677280426,0.0,[],[22],"[22, 50]"
10,0.7108465433120728,0.0,[],"[22, 48, 50]","[22, 50]"
11,0.9311136603355408,0.0,[],"[22, 50]","[22, 50]"
12,1.0324608087539673,0.0,[],"[22, 50]","[22, 50]"
13,0.8750485181808472,0.0,[49],"[22, 50]","[22, 50]"
14,0.8047352433204651,0.0,[],"[22, 50]","[22, 50]"
15,0.8681244850158691,0.0,[13],"[22, 50]","[22, 50]"
16,0.9978168606758118,0.0,[],"[22, 50]","[22, 50]"
17,0.8538725972175598,0.0,[],"[22, 50]","[22, 50]"
18,0.9137448668479919,0.0,[13],"[22, 50]","[22, 50]"
19,0.9302973747253418,0.0,"[13, 46]","[22, 50]","[22, 50]"
20,1.0786263942718506,0.0,[13],"[22, 50]","[22, 50]"
21,1.0002332925796509,0.0,[46],"[22, 50]","[22, 50]"
22,0.6930890679359436,0.0,[46],"[22, 50]","[22, 50]"
23,0.9155983328819275,0.0,"[15, 46]","[22, 50]","[22, 50]"
24,0.7754049301147461,0.0,"[15, 46]","[22, 50]","[22, 50]"
25,0.8922734260559082,0.0,[17],"[22, 50]","[22, 34, 50]"
26,0.7731384038925171,0.0,[],"[22, 50]","[22, 34, 50]"
27,1.3327778577804565,0.0,[21],"[22, 50]","[22, 34, 50]"
28,1.2533543109893799,0.3333333333333333,[20],"[20, 22, 50]","[22, 34, 50]"
29,0.9910169839859009,0.3333333333333333,[20],"[20, 22, 50]","[22, 34, 50]"
30,1.0823243856430054,0.0,[20],"[22, 50]","[22, 34, 50]"
31,0.8912209868431091,0.0,[20],"[22, 50]","[22, 34, 50]"
32,0.7058539390563965,0.3333333333333333,"[20, 50]","[22, 50]","[22, 34, 50]"
33,0.6912311315536499,0.3333333333333333,"[20, 50]","[22, 50]","[22, 34, 50]"
34,0.8069849014282227,0.0,[],"[22, 50]","[22, 34, 50]"
35,1.011717438697815,0.5,[50],"[22, 50]","[22, 34, 50]"
36,1.050060749053955,0.5,[50],"[22, 50]","[22, 34, 50]"
37,1.1772719621658325,0.3333333333333333,"[49, 50]","[22, 50]","[22, 34, 50, 51]"
38,1.1793155670166016,0.3333333333333333,"[19, 50]","[22, 50]","[22, 34, 51]"
39,0.9192492961883545,0.0,"[19, 50]","[22, 51]","[22, 34, 51]"
40,0.8927415609359741,0.0,[50],"[22, 51]","[22, 34, 51]"
41,0.8165107369422913,0.0,"[19, 50]","[22, 51]","[22, 34, 51]"
42,0.7144121527671814,0.0,[50],"[22, 51]","[22, 34, 51]"
43,0.8486640453338623,0.0,[],"[22, 51]","[22, 34, 51]"
44,1.0358450412750244,0.0,[],"[22, 51]","[22, 34, 51]"
45,1.029401421546936,0.0,[],"[22, 51]","[22, 34, 51]"
46,0.8653833270072937,0.0,[],"[22, 51]","[22, 34, 51]"
47,0.811697244644165,0.0,[],"[22, 51]","[22, 34, 51]"
48,0.7824106216430664,0.0,[],"[22, 51]","[22, 34, 51]"
49,0.8543541431427002,0.0,"[48, 50]","[22, 51]","[22, 34, 51]"
50,1.349051833152771,0.0,"[48, 50]","[22, 51]","[22, 31, 34, 50]"
51,1.597439169883728,0.0,[],[],"[31, 34, 50]"
