step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
0,2.6833112239837646,0.0,[],[],"[22, 50]"
1,3.649604558944702,0.0,[],[],"[22, 50]"
2,3.6396706104278564,0.0,[],[],"[22, 50]"
3,2.9279630184173584,0.0,[],[],"[22, 48, 50]"
4,1.7516295909881592,0.0,[],[48],"[22, 48]"
5,1.2722657918930054,0.0,"[23, 51]",[48],"[22, 48]"
6,1.1058716773986816,0.3333333333333333,"[23, 51]","[23, 48]","[22, 48]"
7,1.2080074548721313,0.0,[23],"[22, 24, 48]","[22, 50]"
8,1.0976580381393433,0.0,[],[22],"[22, 50]"
9,1.020482063293457,0.0,[],[22],"[22, 50]"
10,0.9619511365890503,0.0,[],"[22, 48, 50]","[22, 50]"
11,0.8488497734069824,0.0,[],"[22, 50]","[22, 50]"
12,0.7784011960029602,0.0,[],"[22, 50]","[22, 50]"
13,0.7288317084312439,0.0,[],"[22, 50]","[22, 50]"
14,0.7520486116409302,0.0,[],"[22, 50]","[22, 50]"
15,0.7550349235534668,0.0,[],"[22, 50]","[22, 50]"
16,0.6784840822219849,0.0,[51],"[22, 50]","[22, 50]"
17,0.762365460395813,0.0,"[19, 51]","[22, 50]","[22, 50]"
18,0.7189724445343018,0.0,"[19, 51]","[22, 50]","[22, 50]"
19,0.7759990096092224,0.0,"[19, 51]","[22, 50]","[22, 50]"
20,0.7623523473739624,0.0,[51],"[22, 50]","[22, 50]"
21,0.750300407409668,0.0,[51],"[22, 50]","[22, 50]"
22,0.7269583940505981,0.0,[51],"[22, 50]","[22, 50]"
23,0.7976409196853638,0.0,[51],"[22, 50]","[22, 50]"
24,0.7187190651893616,0.0,[51],"[22, 50]","[22, 50]"
25,1.3978875875473022,0.0,[],"[22, 50]","[22, 34, 50]"
26,1.8071190118789673,0.0,[],"[22, 50]","[22, 34, 50]"
27,2.014725923538208,0.0,[],"[22, 50]","[22, 34, 50]"
28,1.7640217542648315,0.0,[],"[20, 22, 50]","[22, 34, 50]"
29,1.3171368837356567,0.0,[],"[20, 22, 50]","[22, 34, 50]"
30,1.409868836402893,0.0,[],"[22, 50]","[22, 34, 50]"
31,1.6481165885925293,0.0,[],"[22, 50]","[22, 34, 50]"
32,1.6324151754379272,0.0,[],"[22, 50]","[22, 34, 50]"
33,1.5264410972595215,0.0,[],"[22, 50]","[22, 34, 50]"
34,1.627561330795288,0.0,[],"[22, 50]","[22, 34, 50]"
35,1.5795305967330933,0.0,[],"[22, 50]","[22, 34, 50]"
36,1.3393654823303223,0.5,[50],"[22, 50]","[22, 34, 50]"
37,1.9442356824874878,0.0,[],"[22, 50]","[22, 34, 50, 51]"
38,1.829314112663269,0.0,[],"[22, 50]","[22, 34, 51]"
39,1.7092840671539307,0.0,[],"[22, 51]","[22, 34, 51]"
40,1.5648219585418701,0.0,[],"[22, 51]","[22, 34, 51]"
