step_t,hand_qpos_l2,piano_key_f1,piano_precision,piano_recall,piano_iou,sim_keys,ref_keys,episode_done
0,0.3817950487136841,0.0,0.0,0.0,0.0,[],[],False
1,0.4084513187408447,0.0,0.0,0.0,0.0,[],[],False
2,0.48012685775756836,0.0,0.0,0.0,0.0,[],[],False
3,0.5750313997268677,0.0,0.0,0.0,0.0,[47],[48],False
4,0.24724358320236206,0.0,0.0,0.0,0.0,[],[48],False
5,0.3415772020816803,0.0,0.0,0.0,0.0,"[19, 20, 22, 44]","[23, 48]",False
6,0.3420528173446655,0.0,0.0,0.0,0.0,"[19, 44]","[22, 24, 48]",False
7,0.41992470622062683,0.0,0.0,0.0,0.0,"[19, 44, 52]",[22],False
8,0.34270331263542175,0.0,0.0,0.0,0.0,[],[22],False
9,0.3439091444015503,0.0,0.0,0.0,0.0,[19],"[22, 48, 50]",False
10,0.43767935037612915,0.0,0.0,0.0,0.0,[],"[22, 50]",False
11,0.5057538747787476,0.0,0.0,0.0,0.0,[],"[22, 50]",False
12,0.4798394739627838,0.0,0.0,0.0,0.0,[46],"[22, 50]",False
13,0.20918375253677368,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
14,0.22706389427185059,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
15,0.3267877697944641,0.0,0.0,0.0,0.0,[19],"[22, 50]",False
16,0.39015108346939087,0.0,0.0,0.0,0.0,[],"[22, 50]",False
17,0.24600279331207275,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
18,0.34388789534568787,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
19,0.2443515658378601,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
20,0.4499659240245819,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
21,0.2870854437351227,0.0,0.0,0.0,0.0,[46],"[22, 50]",False
22,0.38889554142951965,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
23,0.27177858352661133,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
24,0.26880669593811035,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
25,0.2752600312232971,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
26,0.3236503303050995,0.0,0.0,0.0,0.0,[46],"[22, 50]",False
27,0.3324211835861206,0.0,0.0,0.0,0.0,"[17, 19, 46]","[20, 22, 50]",False
28,0.24486973881721497,0.0,0.0,0.0,0.0,"[17, 19, 46]","[20, 22, 50]",False
29,0.567944347858429,0.0,0.0,0.0,0.0,"[17, 19, 46, 48]","[22, 50]",False
30,0.4296348989009857,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
31,0.35202473402023315,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
32,0.20245742797851562,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
33,0.33057335019111633,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
34,0.5255255699157715,0.0,0.0,0.0,0.0,[46],"[22, 50]",False
35,0.3769415318965912,0.0,0.0,0.0,0.0,[46],"[22, 50]",False
36,0.3426603376865387,0.0,0.0,0.0,0.0,"[19, 46]","[22, 50]",False
37,0.46993136405944824,0.0,0.0,0.0,0.0,"[46, 49]","[22, 50]",False
38,0.4350309669971466,0.0,0.0,0.0,0.0,"[19, 25, 46, 48]","[22, 51]",False
39,0.3987519145011902,0.0,0.0,0.0,0.0,[19],"[22, 51]",False
40,0.31138941645622253,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
41,0.4766514003276825,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
42,0.3538025915622711,0.0,0.0,0.0,0.0,[48],"[22, 51]",False
43,0.46129903197288513,0.0,0.0,0.0,0.0,[],"[22, 51]",False
44,0.4239516854286194,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
45,0.4619999825954437,0.0,0.0,0.0,0.0,[],"[22, 51]",False
46,0.20604075491428375,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
47,0.334747850894928,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
48,0.3277943730354309,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
49,0.24488776922225952,0.0,0.0,0.0,0.0,"[19, 48]","[22, 51]",False
50,0.5202237963676453,0.0,0.0,0.0,0.0,[48],[],False
51,0.6336029171943665,0.0,0.0,0.0,0.0,[],[50],False
52,0.5019672513008118,0.0,0.0,0.0,0.0,[46],"[34, 48, 50]",False
53,0.4712122678756714,0.28571428571428575,0.3333333333333333,0.25,0.16666666666666666,"[31, 44, 46]","[31, 34, 48, 50]",False
54,0.32351481914520264,0.28571428571428575,0.25,0.3333333333333333,0.16666666666666666,"[27, 29, 31, 46]","[31, 34, 36]",False
55,0.38465237617492676,0.28571428571428575,0.25,0.3333333333333333,0.16666666666666666,"[27, 31, 44, 46]","[31, 34, 48]",False
56,0.24282389879226685,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
57,0.36704209446907043,0.0,0.0,0.0,0.0,"[27, 44]","[31, 34, 48]",False
58,0.4910925328731537,0.0,0.0,0.0,0.0,"[44, 46]","[31, 34, 48]",False
59,0.49406862258911133,0.0,0.0,0.0,0.0,"[27, 44, 46, 47]","[31, 34, 48]",False
60,0.33659273386001587,0.0,0.0,0.0,0.0,"[44, 46]","[31, 34, 48]",False
61,0.29735085368156433,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
62,0.4654412567615509,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
63,0.3790115714073181,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
64,0.09989618510007858,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
65,0.3207843005657196,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
66,0.36020100116729736,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
67,0.24851557612419128,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 44]","[31, 34, 48]",False
68,0.34078696370124817,0.0,0.0,0.0,0.0,"[27, 44]","[31, 34, 48]",False
69,0.27070096135139465,0.0,0.0,0.0,0.0,"[27, 44]","[31, 34, 50]",False
70,0.19007271528244019,0.0,0.0,0.0,0.0,"[27, 43]","[31, 34, 46]",False
71,0.31998738646507263,0.0,0.0,0.0,0.0,"[27, 43, 50]","[31, 34, 46]",False
72,0.30452048778533936,0.0,0.0,0.0,0.0,"[27, 43, 50]","[31, 34, 46]",False
73,0.0819866955280304,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,"[27, 31, 43]","[31, 34, 46]",False
74,0.28067243099212646,0.0,0.0,0.0,0.0,"[27, 43]","[31, 34, 46]",False
75,0.3711407482624054,0.0,0.0,0.0,0.0,"[27, 43, 48, 50]","[31, 34, 53]",False
76,0.39114537835121155,0.0,0.0,0.0,0.0,"[27, 31, 50]","[34, 53]",False
77,0.27214592695236206,0.0,0.0,0.0,0.0,"[31, 50]","[34, 53]",False
78,0.442043274641037,0.0,0.0,0.0,0.0,"[31, 50]","[26, 27, 34, 53]",False
79,0.5464106798171997,0.0,0.0,0.0,0.0,[],"[26, 34, 53]",False
80,0.20578448474407196,0.0,0.0,0.0,0.0,[50],"[26, 34, 53]",False
81,0.323627769947052,0.0,0.0,0.0,0.0,"[29, 31, 50]","[26, 34, 53]",False
82,0.3550511598587036,0.0,0.0,0.0,0.0,"[29, 31, 50]","[26, 34, 53]",False
83,0.12232501059770584,0.0,0.0,0.0,0.0,"[22, 31, 50]","[26, 34, 53]",False
84,0.2445705682039261,0.0,0.0,0.0,0.0,"[22, 31, 50]","[26, 34, 53]",False
85,0.32635799050331116,0.0,0.0,0.0,0.0,"[22, 29, 31, 50]","[26, 34, 53]",False
86,0.2681300640106201,0.0,0.0,0.0,0.0,"[22, 31, 50]","[26, 34, 53]",False
87,0.390214204788208,0.0,0.0,0.0,0.0,"[22, 31]","[26, 34, 53]",False
88,0.1727982759475708,0.0,0.0,0.0,0.0,"[22, 29, 31, 50]","[26, 34, 53]",False
89,0.3202170729637146,0.0,0.0,0.0,0.0,"[22, 31]","[26, 34, 53]",False
90,0.32185471057891846,0.0,0.0,0.0,0.0,[22],"[26, 34, 53]",False
91,0.3459555208683014,0.0,0.0,0.0,0.0,"[22, 31]","[26, 34, 53]",False
92,0.3215952217578888,0.0,0.0,0.0,0.0,"[29, 31, 50]","[26, 34, 53]",False
93,0.3021512031555176,0.0,0.0,0.0,0.0,"[22, 29, 31]","[26, 34, 53]",False
94,0.43095874786376953,0.0,0.0,0.0,0.0,"[29, 31]","[26, 34, 53]",False
95,0.1412103772163391,0.0,0.0,0.0,0.0,"[22, 31, 50]","[26, 34, 53]",False
96,0.3006739020347595,0.0,0.0,0.0,0.0,"[31, 50]","[26, 34, 53]",False
97,0.31627267599105835,0.0,0.0,0.0,0.0,"[22, 50]","[26, 34, 53]",False
98,0.3209514021873474,0.0,0.0,0.0,0.0,"[22, 29, 31]","[26, 34, 53]",False
99,0.3569500148296356,0.0,0.0,0.0,0.0,[22],"[26, 34, 53]",False
100,0.23677581548690796,0.0,0.0,0.0,0.0,"[22, 29, 31]","[26, 34, 53]",False
101,0.35678884387016296,0.0,0.0,0.0,0.0,"[22, 31, 50]","[34, 53]",False
102,0.4337448179721832,0.0,0.0,0.0,0.0,[29],"[34, 53]",False
103,0.20665328204631805,0.0,0.0,0.0,0.0,[50],"[27, 34, 53]",False
104,0.26641055941581726,0.0,0.0,0.0,0.0,"[24, 31]","[27, 34, 53]",False
105,0.5222892761230469,0.0,0.0,0.0,0.0,[31],"[27, 34, 53]",False
106,0.25756171345710754,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
107,0.1357571929693222,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
108,0.3475465178489685,0.0,0.0,0.0,0.0,[31],"[27, 34, 53]",False
109,0.19870837032794952,0.0,0.0,0.0,0.0,"[24, 31]","[27, 34, 53]",False
110,0.21115216612815857,0.0,0.0,0.0,0.0,"[31, 50]","[27, 34, 53]",False
111,0.1896757185459137,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
112,0.09341125935316086,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
113,0.2522648572921753,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 53]",False
114,0.15405459702014923,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
115,0.43976935744285583,0.0,0.0,0.0,0.0,[31],"[27, 34, 53]",False
116,0.11613336950540543,0.0,0.0,0.0,0.0,"[24, 31]","[27, 34, 53]",False
