mode,step,reward,target_keys,rp1m_piano_keys,sim_keys,action_l2,action_max_abs
zero,0,2.0764053698159604,"[22, 50]",[],[],0.0,0.0
zero,1,2.0868863159657454,"[22, 50]",[],[],0.0,0.0
zero,2,2.091364489406669,"[22, 50]",[],[],0.0,0.0
zero,3,2.103429756223277,"[22, 48, 50]",[],[],0.0,0.0
zero,4,2.1159180493394496,"[22, 48]",[48],[],0.0,0.0
zero,5,2.116612810572585,"[22, 48]",[48],[],0.0,0.0
zero,6,2.11723131460783,"[22, 48]","[23, 48]",[],0.0,0.0
zero,7,2.105913078315504,"[22, 50]","[22, 24, 48]",[],0.0,0.0
zero,8,2.09550487246994,"[22, 50]",[22],[],0.0,0.0
zero,9,2.095871196762527,"[22, 50]",[22],[],0.0,0.0
zero,10,2.0961993787000397,"[22, 50]","[22, 48, 50]",[],0.0,0.0
zero,11,2.096493404836811,"[22, 50]","[22, 50]",[],0.0,0.0
zero,12,2.0967568498471927,"[22, 50]","[22, 50]",[],0.0,0.0
zero,13,2.0969929181994216,"[22, 50]","[22, 50]",[],0.0,0.0
zero,14,2.0972044813427715,"[22, 50]","[22, 50]",[],0.0,0.0
zero,15,2.0973941098222033,"[22, 50]","[22, 50]",[],0.0,0.0
zero,16,2.097564103197736,"[22, 50]","[22, 50]",[],0.0,0.0
zero,17,2.097716520616143,"[22, 50]","[22, 50]",[],0.0,0.0
zero,18,2.097853204421748,"[22, 50]","[22, 50]",[],0.0,0.0
zero,19,2.097975802150838,"[22, 50]","[22, 50]",[],0.0,0.0
zero,20,2.0980857870277867,"[22, 50]","[22, 50]",[],0.0,0.0
zero,21,2.0981844764489153,"[22, 50]","[22, 50]",[],0.0,0.0
zero,22,2.098273048521963,"[22, 50]","[22, 50]",[],0.0,0.0
zero,23,2.098352556867083,"[22, 50]","[22, 50]",[],0.0,0.0
zero,24,2.0984239438612535,"[22, 50]","[22, 50]",[],0.0,0.0
zero,25,2.100950465205415,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,26,2.101006374303016,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,27,2.1010565350146324,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,28,2.101101551522314,"[22, 34, 50]","[20, 22, 50]",[],0.0,0.0
zero,29,2.101141963091931,"[22, 34, 50]","[20, 22, 50]",[],0.0,0.0
zero,30,2.101178251183976,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,31,2.1012108457760634,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,32,2.1012401309842073,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,33,2.1012664500606837,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,34,2.1012901098379073,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,35,2.10131138468014,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,36,2.1013305199980894,"[22, 34, 50]","[22, 50]",[],0.0,0.0
zero,37,2.1027026422251383,"[22, 34, 50, 51]","[22, 50]",[],0.0,0.0
zero,38,2.0786256050360095,"[22, 34, 51]","[22, 50]",[],0.0,0.0
zero,39,2.078636331678938,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,40,2.078645986916314,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,41,2.0786546800191363,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,42,2.0786625088519717,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,43,2.0786695610940145,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,44,2.0786759153260674,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,45,2.0786816419984993,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,46,2.0786868042935414,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,47,2.0786914588937293,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,48,2.0786956566669685,"[22, 34, 51]","[22, 51]",[],0.0,0.0
zero,49,2.078699443277503,"[22, 34, 51]","[22, 51]",[],0.0,0.0
